customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,has_tech_support,has_online_security,num_support_tickets,avg_monthly_usage,churn
CUST-0068,49,111.88,5482.12,Month-to-month,Bank transfer,1,1,0,49,0
CUST-0069,53,55.54,2943.62,Two Year,Electronic check,0,1,4,120,0
CUST-0070,44,108.73,4784.12,One Year,Bank transfer,1,1,2,118,0
CUST-0071,37,70.87,2622.19,Two Year,Mailed check,0,0,2,89,0
CUST-0072,6,51.23,307.38,Two Year,Mailed check,1,1,0,111,0
CUST-0073,72,51.24,3689.28,Two Year,Credit card,0,1,3,104,1
CUST-0074,39,36.03,1405.17,Month-to-month,Bank transfer,1,1,3,102,1
CUST-0075,43,76.1,3272.2999999999997,One Year,Electronic check,0,0,1,98,0
CUST-0076,34,23.92,813.2800000000001,Month-to-month,Electronic check,0,1,5,75,1
CUST-0077,59,48.97,2889.23,Month-to-month,Mailed check,1,1,1,86,0
CUST-0078,43,108.82,4679.259999999999,Two Year,Credit card,1,0,1,96,0
CUST-0079,23,27.69,636.87,Month-to-month,Bank transfer,1,0,3,133,0
CUST-0080,1,22.26,22.26,Month-to-month,Bank transfer,0,1,5,69,1
CUST-0081,56,31.17,1745.52,Month-to-month,Credit card,0,1,2,143,0
CUST-0082,20,119.67,2393.4,Month-to-month,Electronic check,0,0,0,61,1
CUST-0083,54,67.06,3621.2400000000002,Month-to-month,Mailed check,0,1,2,95,0
CUST-0084,69,119.03,8213.07,One Year,Mailed check,0,1,1,88,0
CUST-0085,63,93.62,5898.06,Month-to-month,Bank transfer,0,0,2,91,1
CUST-0086,51,106.95,5454.45,Month-to-month,Mailed check,1,1,1,108,1
CUST-0087,69,50.01,3450.69,Two Year,Mailed check,1,0,1,112,0
CUST-0088,36,63.86,2298.96,Month-to-month,Mailed check,0,0,4,72,0
CUST-0089,24,83.93,2014.3200000000002,One Year,Credit card,0,0,0,131,0
CUST-0090,10,33.51,335.09999999999997,Month-to-month,Electronic check,1,1,2,135,0
CUST-0091,49,28.96,1419.04,Month-to-month,Bank transfer,0,1,1,102,0
CUST-0092,22,89.43,1967.46,Month-to-month,Credit card,1,1,1,133,0
CUST-0093,26,31.63,822.38,Month-to-month,Bank transfer,1,0,3,91,1
CUST-0094,55,54.37,2990.35,Month-to-month,Credit card,0,1,0,81,0
CUST-0095,7,62.97,440.78999999999996,One Year,Mailed check,1,1,2,134,0
CUST-0096,38,119.64,4546.32,One Year,Credit card,1,1,0,47,0
CUST-0097,59,119.46,7048.139999999999,Month-to-month,Electronic check,0,1,0,88,0
CUST-0098,40,68.49,2739.6,Month-to-month,Bank transfer,0,1,0,109,0
CUST-0099,52,94.86,4932.72,Month-to-month,Mailed check,0,1,2,105,0
CUST-0100,31,51.09,1583.7900000000002,One Year,Electronic check,1,1,3,115,1
CUST-0101,67,103.28,6919.76,Month-to-month,Electronic check,0,1,3,151,0
CUST-0102,25,77.67,1941.75,One Year,Mailed check,1,0,1,80,0
CUST-0103,56,24.82,1389.92,Month-to-month,Bank transfer,0,1,0,96,0
CUST-0104,18,66.31,1193.58,One Year,Mailed check,1,0,1,87,0
CUST-0105,46,36.11,1661.06,Month-to-month,Electronic check,1,0,2,76,0
CUST-0106,46,94.13,4329.98,Month-to-month,Electronic check,0,1,2,99,0
CUST-0107,36,26.34,948.24,One Year,Electronic check,0,1,3,106,0
CUST-0108,17,59.91,1018.4699999999999,Month-to-month,Electronic check,0,1,1,151,0
CUST-0109,13,59.06,767.78,Month-to-month,Bank transfer,0,0,2,141,0
CUST-0110,68,44.73,3041.64,Month-to-month,Mailed check,1,1,1,80,0
CUST-0111,21,24.66,517.86,One Year,Mailed check,0,0,1,63,0
CUST-0112,11,44.24,486.64000000000004,One Year,Mailed check,0,0,3,91,0
CUST-0113,9,46.18,415.62,Month-to-month,Mailed check,1,1,0,103,0
CUST-0114,31,112.11,3475.41,Month-to-month,Credit card,1,1,3,85,1
CUST-0115,13,50.34,654.4200000000001,Two Year,Credit card,0,1,3,105,0
CUST-0116,19,51.41,976.79,One Year,Bank transfer,1,1,0,45,0
CUST-0117,45,24.8,1116.0,Month-to-month,Electronic check,1,1,2,58,1
CUST-0118,58,52.88,3067.04,Month-to-month,Mailed check,0,0,2,83,0
CUST-0119,1,66.65,66.65,Month-to-month,Mailed check,0,0,3,86,1
CUST-0120,55,25.32,1392.6,Month-to-month,Credit card,1,0,1,70,0
CUST-0121,67,97.36,6523.12,Two Year,Electronic check,0,0,3,72,0
CUST-0122,17,20.0,340.0,Month-to-month,Mailed check,0,1,4,103,0
CUST-0123,6,53.13,318.78000000000003,Month-to-month,Mailed check,1,0,1,102,0
CUST-0124,52,24.98,1298.96,Month-to-month,Mailed check,0,1,1,148,1
CUST-0125,35,26.12,914.2,One Year,Electronic check,1,0,4,124,1
CUST-0126,68,94.56,6430.08,Two Year,Electronic check,0,1,2,119,0
CUST-0127,55,32.85,1806.75,Month-to-month,Bank transfer,0,1,0,104,0
CUST-0128,2,99.01,198.02,One Year,Mailed check,0,1,4,143,1
CUST-0129,15,61.36,920.4,Month-to-month,Electronic check,0,1,1,128,1
CUST-0130,34,105.91,3600.94,Two Year,Credit card,0,0,2,163,0
CUST-0131,21,50.26,1055.46,Month-to-month,Bank transfer,0,0,0,116,0
CUST-0132,41,24.9,1020.9,Month-to-month,Electronic check,1,0,0,106,0
CUST-0133,25,35.37,884.2499999999999,One Year,Credit card,1,1,1,89,0
CUST-0134,59,43.33,2556.47,Month-to-month,Mailed check,1,0,0,79,1
CUST-0135,29,88.21,2558.0899999999997,Two Year,Electronic check,1,1,1,68,0
CUST-0136,8,40.59,324.72,Two Year,Mailed check,1,1,3,58,0
CUST-0137,3,108.22,324.65999999999997,Two Year,Electronic check,1,0,1,106,0
CUST-0138,64,66.65,4265.6,Month-to-month,Bank transfer,0,0,1,103,1
CUST-0139,3,109.98,329.94,Month-to-month,Mailed check,0,1,0,120,1
CUST-0140,18,109.39,1969.02,Two Year,Mailed check,1,0,2,163,0
CUST-0141,54,25.86,1396.44,Two Year,Bank transfer,1,0,3,92,0
CUST-0142,31,68.78,2132.18,Month-to-month,Electronic check,1,1,0,61,1
CUST-0143,68,112.53,7652.04,Two Year,Bank transfer,1,0,2,109,0
CUST-0144,29,57.28,1661.1200000000001,Two Year,Electronic check,1,1,1,95,0
CUST-0145,38,25.81,980.78,One Year,Mailed check,0,0,1,118,0
CUST-0146,18,56.1,1009.8000000000001,Two Year,Credit card,1,1,1,111,0
CUST-0147,11,84.68,931.48,Two Year,Bank transfer,0,0,1,93,0
CUST-0148,14,75.91,1062.74,Month-to-month,Credit card,0,0,1,71,1
CUST-0149,26,58.7,1526.2,Month-to-month,Electronic check,1,0,3,93,1
CUST-0150,67,84.15,5638.05,Month-to-month,Electronic check,1,1,0,96,0
CUST-0151,16,108.06,1728.96,Month-to-month,Electronic check,0,1,2,87,0
CUST-0152,12,102.87,1234.44,Month-to-month,Bank transfer,1,1,0,113,0
CUST-0153,39,58.79,2292.81,One Year,Mailed check,0,1,6,95,0
CUST-0154,23,67.12,1543.7600000000002,One Year,Bank transfer,0,1,1,128,0
CUST-0155,56,52.98,2966.8799999999997,Month-to-month,Electronic check,0,0,3,101,0
CUST-0156,58,83.61,4849.38,One Year,Mailed check,0,1,2,114,1
CUST-0157,52,79.66,4142.32,Month-to-month,Mailed check,0,1,3,101,0
CUST-0158,49,108.87,5334.63,One Year,Bank transfer,1,0,3,93,0
CUST-0159,54,35.91,1939.1399999999999,Two Year,Bank transfer,0,0,1,78,0
CUST-0160,18,52.84,951.1200000000001,Month-to-month,Electronic check,1,1,2,71,0
CUST-0161,66,49.62,3274.9199999999996,Month-to-month,Electronic check,0,1,2,93,1
CUST-0162,43,119.56,5141.08,One Year,Electronic check,0,1,1,73,0
CUST-0163,45,20.87,939.1500000000001,Month-to-month,Electronic check,0,0,1,81,1
CUST-0164,17,79.27,1347.59,Two Year,Electronic check,0,0,2,46,0
CUST-0165,52,72.14,3751.28,Month-to-month,Electronic check,1,1,2,99,0
CUST-0166,55,66.83,3675.65,One Year,Mailed check,0,1,1,105,0
CUST-0167,56,44.38,2485.28,Month-to-month,Mailed check,1,0,1,85,0
CUST-0168,43,113.38,4875.34,One Year,Bank transfer,0,0,3,106,0
CUST-0169,62,57.12,3541.44,Month-to-month,Credit card,0,0,2,83,0
CUST-0170,38,108.27,4114.26,Month-to-month,Credit card,1,1,2,135,0
CUST-0171,3,20.05,60.150000000000006,Month-to-month,Electronic check,0,1,2,136,1
CUST-0172,63,27.72,1746.36,Two Year,Mailed check,0,0,0,104,0
CUST-0173,17,82.36,1400.12,Month-to-month,Electronic check,1,0,1,94,0
CUST-0174,71,26.99,1916.29,Month-to-month,Electronic check,0,1,2,63,0
CUST-0175,54,68.18,3681.7200000000003,Month-to-month,Bank transfer,1,1,3,136,1
CUST-0176,48,39.39,1890.72,Month-to-month,Credit card,0,1,1,62,0
CUST-0177,49,41.84,2050.1600000000003,Month-to-month,Bank transfer,0,1,1,77,0
CUST-0178,10,74.21,742.0999999999999,Month-to-month,Mailed check,1,0,2,74,0
CUST-0179,50,93.92,4696.0,One Year,Credit card,0,1,1,130,0
CUST-0180,54,98.4,5313.6,One Year,Bank transfer,0,0,2,83,0
CUST-0181,35,77.14,2699.9,Month-to-month,Credit card,0,1,1,109,0
CUST-0182,4,73.84,295.36,Month-to-month,Mailed check,1,0,1,104,0
CUST-0183,12,116.02,1392.24,Month-to-month,Bank transfer,1,0,2,116,0
CUST-0184,50,70.73,3536.5,Month-to-month,Credit card,0,0,3,107,1
CUST-0185,30,81.67,2450.1,Two Year,Mailed check,1,1,4,108,0
CUST-0186,37,49.82,1843.34,One Year,Credit card,0,1,1,111,0
CUST-0187,68,70.6,4800.799999999999,Two Year,Electronic check,0,1,1,103,0
CUST-0188,27,73.48,1983.96,One Year,Electronic check,0,1,2,126,1
CUST-0189,53,104.48,5537.4400000000005,Month-to-month,Mailed check,1,0,1,95,0
CUST-0190,37,27.39,1013.4300000000001,Month-to-month,Electronic check,0,1,3,40,1
CUST-0191,32,32.89,1052.48,Month-to-month,Bank transfer,0,0,3,112,1
CUST-0192,69,69.97,4827.93,One Year,Electronic check,0,1,0,126,0
CUST-0193,72,47.19,3397.68,Two Year,Electronic check,1,1,5,99,1
CUST-0194,62,81.83,5073.46,Month-to-month,Bank transfer,0,0,1,103,1
CUST-0195,37,81.23,3005.51,One Year,Electronic check,0,1,2,108,1
CUST-0196,43,102.03,4387.29,Month-to-month,Electronic check,0,1,3,102,1
CUST-0197,14,74.34,1040.76,Two Year,Electronic check,1,0,1,103,0
CUST-0198,49,44.14,2162.86,Two Year,Electronic check,1,0,2,126,0
CUST-0199,33,63.46,2094.18,Month-to-month,Credit card,0,0,2,125,0
CUST-0200,39,57.29,2234.31,Two Year,Mailed check,0,1,0,70,0
CUST-0201,41,118.51,4858.91,Month-to-month,Credit card,0,1,1,121,0
CUST-0202,54,94.8,5119.2,One Year,Electronic check,0,1,3,156,0
CUST-0203,15,61.25,918.75,Month-to-month,Mailed check,1,0,1,136,0
CUST-0204,39,67.26,2623.1400000000003,Two Year,Mailed check,0,0,0,62,0
CUST-0205,38,52.0,1976.0,Month-to-month,Bank transfer,1,0,2,126,0
CUST-0206,1,56.34,56.34,Month-to-month,Electronic check,1,0,3,73,1
CUST-0207,60,112.26,6735.6,Two Year,Credit card,0,0,1,101,0
CUST-0208,42,113.42,4763.64,Two Year,Bank transfer,0,1,1,160,0
CUST-0209,45,77.49,3487.0499999999997,Month-to-month,Electronic check,1,1,1,88,1
CUST-0210,20,75.5,1510.0,One Year,Electronic check,0,1,0,92,0
CUST-0211,67,84.34,5650.780000000001,Month-to-month,Electronic check,0,0,1,86,1
CUST-0212,14,51.6,722.4,Month-to-month,Mailed check,0,1,1,153,0
CUST-0213,66,45.59,3008.94,Two Year,Electronic check,1,0,3,145,0
CUST-0214,69,113.29,7817.01,Month-to-month,Electronic check,1,0,2,121,0
CUST-0215,55,35.79,1968.45,Two Year,Bank transfer,0,1,3,88,0
CUST-0216,1,62.24,62.24,Month-to-month,Mailed check,0,0,1,106,1
CUST-0217,11,87.8,965.8,One Year,Credit card,1,0,4,93,1
CUST-0218,66,115.09,7595.9400000000005,Month-to-month,Electronic check,0,1,2,41,1
CUST-0219,3,87.94,263.82,Month-to-month,Electronic check,1,1,1,96,0
CUST-0220,40,39.13,1565.2,Month-to-month,Bank transfer,1,1,2,81,0
CUST-0221,37,111.07,4109.59,Month-to-month,Mailed check,0,1,2,67,1
CUST-0222,36,48.08,1730.8799999999999,One Year,Mailed check,0,1,1,94,0
CUST-0223,27,72.42,1955.3400000000001,Month-to-month,Electronic check,1,1,4,92,0
CUST-0224,20,75.67,1513.4,One Year,Bank transfer,0,0,1,79,0
CUST-0225,5,83.59,417.95000000000005,One Year,Mailed check,0,0,3,110,1
CUST-0226,40,21.2,848.0,Two Year,Electronic check,1,0,3,101,0
CUST-0227,53,101.14,5360.42,One Year,Credit card,0,1,3,126,0
CUST-0228,45,26.29,1183.05,One Year,Credit card,0,0,2,96,0
CUST-0229,14,56.12,785.68,Month-to-month,Electronic check,0,0,2,134,1
CUST-0230,34,116.63,3965.42,Two Year,Credit card,0,1,1,70,0
CUST-0231,16,84.44,1351.04,One Year,Bank transfer,0,0,1,107,0
CUST-0232,18,101.68,1830.2400000000002,Month-to-month,Bank transfer,1,0,1,120,0
CUST-0233,24,96.59,2318.16,One Year,Mailed check,0,0,2,105,0
CUST-0234,60,73.32,4399.2,Month-to-month,Bank transfer,0,0,2,93,0
CUST-0235,9,42.58,383.21999999999997,Month-to-month,Bank transfer,1,1,3,43,0
CUST-0236,41,85.0,3485.0,One Year,Bank transfer,0,1,1,121,0
CUST-0237,48,80.38,3858.24,Month-to-month,Electronic check,1,0,2,76,1
CUST-0238,46,79.33,3649.18,Month-to-month,Electronic check,0,0,2,80,1
CUST-0239,26,20.91,543.66,Two Year,Mailed check,0,1,3,112,0
CUST-0240,32,57.8,1849.6,Two Year,Mailed check,1,1,0,86,0
CUST-0241,11,74.07,814.77,Two Year,Credit card,1,1,0,147,0
CUST-0242,39,104.78,4086.42,Month-to-month,Bank transfer,0,0,2,82,0
CUST-0243,61,60.49,3689.8900000000003,Two Year,Bank transfer,0,0,3,126,1
CUST-0244,18,97.55,1755.8999999999999,Month-to-month,Credit card,0,0,1,141,1
CUST-0245,16,37.74,603.84,Two Year,Electronic check,1,1,2,119,0
CUST-0246,20,100.66,2013.1999999999998,One Year,Electronic check,1,1,3,113,1
CUST-0247,21,78.35,1645.35,Month-to-month,Electronic check,1,0,1,82,0
CUST-0248,4,117.7,470.8,Month-to-month,Electronic check,0,0,0,107,1
CUST-0249,60,43.84,2630.4,One Year,Mailed check,0,0,3,110,1
CUST-0250,12,50.58,606.96,Month-to-month,Mailed check,0,0,4,103,1
CUST-0251,49,64.07,3139.43,One Year,Credit card,0,1,2,111,0
CUST-0252,7,48.81,341.67,Month-to-month,Credit card,0,0,0,113,1
CUST-0253,18,71.74,1291.32,Two Year,Electronic check,0,0,1,137,0
CUST-0254,59,73.87,4358.33,Month-to-month,Bank transfer,1,1,0,79,0
CUST-0255,1,25.66,25.66,One Year,Electronic check,1,1,3,80,0
CUST-0256,52,103.02,5357.04,Two Year,Mailed check,1,0,2,114,0
CUST-0257,31,119.65,3709.15,Month-to-month,Bank transfer,1,1,2,92,0
CUST-0258,28,33.58,940.24,Month-to-month,Electronic check,0,0,0,71,0
CUST-0259,71,111.65,7927.150000000001,One Year,Electronic check,1,1,1,79,0
CUST-0260,54,42.01,2268.54,One Year,Bank transfer,1,0,1,116,0
CUST-0261,40,55.22,2208.8,Month-to-month,Credit card,1,1,3,66,0
CUST-0262,52,45.78,2380.56,Month-to-month,Electronic check,0,1,1,97,0
CUST-0263,46,115.31,5304.26,Two Year,Bank transfer,1,1,1,79,0
CUST-0264,40,116.84,4673.6,Month-to-month,Mailed check,1,1,0,126,1
CUST-0265,51,80.19,4089.69,Month-to-month,Credit card,1,1,1,111,0
CUST-0266,47,118.09,5550.2300000000005,Month-to-month,Electronic check,0,1,2,86,0
CUST-0267,61,91.34,5571.74,Month-to-month,Credit card,0,0,1,90,0
CUST-0268,70,78.23,5476.1,Two Year,Credit card,0,1,1,119,0
CUST-0269,35,77.66,2718.1,Two Year,Credit card,1,0,1,117,0
CUST-0270,17,59.04,1003.68,Two Year,Bank transfer,1,1,2,107,0
CUST-0271,48,34.61,1661.28,Two Year,Credit card,1,1,1,91,0
CUST-0272,4,39.41,157.64,One Year,Electronic check,1,0,0,64,1
CUST-0273,6,31.24,187.44,Month-to-month,Mailed check,0,0,2,106,1
CUST-0274,67,116.19,7784.73,One Year,Mailed check,0,1,2,161,0
CUST-0275,65,74.12,4817.8,One Year,Bank transfer,1,1,1,72,0
CUST-0276,46,105.6,4857.599999999999,Month-to-month,Electronic check,1,1,1,83,1
CUST-0277,60,77.41,4644.599999999999,One Year,Credit card,0,1,1,99,0
CUST-0278,10,56.18,561.8,One Year,Electronic check,1,0,1,79,1
CUST-0279,14,66.73,934.22,One Year,Bank transfer,1,0,1,78,0
CUST-0280,68,62.3,4236.4,Two Year,Mailed check,0,0,2,73,0
CUST-0281,14,95.44,1336.1599999999999,Month-to-month,Electronic check,0,0,4,89,1
CUST-0282,50,91.49,4574.5,Month-to-month,Electronic check,1,1,3,113,0
CUST-0283,40,116.8,4672.0,One Year,Mailed check,1,0,2,108,0
CUST-0284,39,21.57,841.23,Two Year,Electronic check,1,0,0,123,0
CUST-0285,38,59.75,2270.5,Month-to-month,Mailed check,1,1,3,94,0
CUST-0286,20,103.01,2060.2000000000003,One Year,Credit card,1,1,0,93,0
CUST-0287,28,109.66,3070.48,Month-to-month,Mailed check,1,0,2,90,0
CUST-0288,22,114.01,2508.2200000000003,Month-to-month,Mailed check,0,1,3,107,0
CUST-0289,1,85.63,85.63,Month-to-month,Electronic check,0,1,1,115,1
CUST-0290,2,27.95,55.9,Month-to-month,Bank transfer,1,0,0,92,0
CUST-0291,37,78.19,2893.0299999999997,Month-to-month,Bank transfer,0,0,3,91,1
CUST-0292,52,95.57,4969.639999999999,Two Year,Credit card,1,1,0,94,0
CUST-0293,34,76.14,2588.76,Month-to-month,Electronic check,1,0,1,136,1
CUST-0294,27,118.34,3195.1800000000003,Two Year,Bank transfer,0,1,4,49,0
CUST-0295,7,118.88,832.16,Two Year,Credit card,0,1,1,126,0
CUST-0296,4,21.37,85.48,One Year,Electronic check,1,1,2,96,0
CUST-0297,29,80.03,2320.87,Month-to-month,Electronic check,1,1,2,120,0
CUST-0298,36,57.47,2068.92,Month-to-month,Credit card,1,0,2,93,0
CUST-0299,32,68.3,2185.6,Month-to-month,Mailed check,1,0,1,129,1
CUST-0300,20,28.54,570.8,Month-to-month,Credit card,0,1,1,104,0
CUST-0301,53,22.56,1195.6799999999998,Month-to-month,Credit card,1,0,0,144,0
CUST-0302,42,94.03,3949.26,Two Year,Electronic check,0,1,2,59,0
CUST-0303,51,78.88,4022.8799999999997,Month-to-month,Mailed check,1,0,2,91,0
CUST-0304,47,53.3,2505.1,One Year,Bank transfer,0,0,1,91,0
CUST-0305,72,77.63,5589.36,One Year,Bank transfer,1,0,1,132,0
CUST-0306,50,32.16,1607.9999999999998,Month-to-month,Electronic check,1,1,1,91,0
CUST-0307,51,50.78,2589.78,Two Year,Mailed check,1,1,2,114,0
CUST-0308,59,76.84,4533.56,One Year,Bank transfer,1,0,4,83,0
CUST-0309,3,78.77,236.31,Month-to-month,Electronic check,0,0,1,66,1
CUST-0310,62,92.5,5735.0,Month-to-month,Bank transfer,0,1,0,118,0
CUST-0311,61,40.3,2458.2999999999997,Month-to-month,Bank transfer,0,0,0,138,1
CUST-0312,19,42.85,814.15,One Year,Electronic check,0,0,1,125,0
CUST-0313,36,78.18,2814.4800000000005,One Year,Bank transfer,0,1,2,66,0
CUST-0314,3,85.42,256.26,Two Year,Credit card,0,1,1,117,0
CUST-0315,56,113.24,6341.44,Two Year,Electronic check,1,1,2,110,0
CUST-0316,64,58.14,3720.96,Month-to-month,Mailed check,1,0,1,123,1
CUST-0317,71,88.37,6274.27,Two Year,Credit card,0,0,3,111,0
CUST-0318,26,78.58,2043.08,Month-to-month,Electronic check,1,1,0,117,0
CUST-0319,57,45.23,2578.1099999999997,Two Year,Electronic check,0,1,0,100,0
CUST-0320,59,51.45,3035.55,One Year,Mailed check,1,1,2,131,0
CUST-0321,61,112.87,6885.070000000001,One Year,Credit card,0,0,6,101,1
CUST-0322,18,32.0,576.0,Month-to-month,Mailed check,1,1,1,101,0
CUST-0323,34,100.87,3429.58,Month-to-month,Credit card,0,0,4,128,1
CUST-0324,67,107.56,7206.52,Two Year,Electronic check,1,1,1,64,0
CUST-0325,19,97.95,1861.05,Month-to-month,Electronic check,0,0,1,80,0
CUST-0326,67,47.27,3167.09,One Year,Bank transfer,0,1,4,67,0
CUST-0327,37,24.73,915.01,Month-to-month,Electronic check,1,0,0,154,0
CUST-0328,8,46.12,368.96,One Year,Mailed check,1,0,1,120,0
CUST-0329,63,31.77,2001.51,Month-to-month,Credit card,0,0,1,155,0
CUST-0330,2,95.87,191.74,Month-to-month,Bank transfer,1,0,1,98,1
CUST-0331,58,22.94,1330.52,Two Year,Electronic check,1,0,1,87,0
CUST-0332,31,79.61,2467.91,Month-to-month,Electronic check,0,0,4,89,1
CUST-0333,17,90.16,1532.72,Month-to-month,Credit card,1,1,2,113,0
CUST-0334,21,62.88,1320.48,Month-to-month,Bank transfer,0,1,1,131,0
CUST-0335,36,24.58,884.8799999999999,Two Year,Mailed check,0,1,1,97,0
CUST-0336,24,65.88,1581.12,One Year,Bank transfer,0,1,1,92,0
CUST-0337,43,24.17,1039.3100000000002,Month-to-month,Electronic check,0,0,0,72,0
CUST-0338,8,104.9,839.2,One Year,Mailed check,0,0,2,75,1
CUST-0339,48,108.95,5229.6,Month-to-month,Mailed check,0,1,2,92,0
CUST-0340,19,72.03,1368.57,One Year,Credit card,1,0,1,102,0
CUST-0341,44,60.27,2651.88,Two Year,Credit card,1,1,3,121,1
CUST-0342,2,88.8,177.6,Month-to-month,Bank transfer,0,0,4,116,1
